name,seed,condition,seconds,raw_outside_source_l1,raw_inside_reference_l1,raw_inside_source_l1,composite_outside_changed_pixels,semantic_success
s731001_icedit_full,731001,icedit_full,26.712342585029546,0.03794431686401367,0.13411855697631836,0.13639725744724274,0,not_evaluated
s731001_icedit_masked,731001,icedit_masked,12.894933958014008,0.022333944216370583,0.13840331137180328,0.15346446633338928,0,not_evaluated
s731001_icedit_masked_desired,731001,icedit_masked_desired,12.969197838974651,0.02274455316364765,0.16045239567756653,0.05910155549645424,0,not_evaluated
s731001_icedit_reference_occluded,731001,icedit_reference_occluded,12.938449434994254,0.022253800183534622,0.2260541021823883,0.26174646615982056,0,not_evaluated
s731001_native_fill,731001,native_fill,8.22886082297191,0.03385968133807182,0.14843331277370453,0.18785542249679565,0,not_evaluated
s731002_icedit_full,731002,icedit_full,13.375361858983524,0.047228291630744934,0.13274745643138885,0.13217289745807648,0,not_evaluated
s731002_icedit_masked,731002,icedit_masked,12.992772789963055,0.022813262417912483,0.17568081617355347,0.18972919881343842,0,not_evaluated
s731002_icedit_masked_desired,731002,icedit_masked_desired,13.09610032098135,0.022818448022007942,0.15510845184326172,0.06666120886802673,0,not_evaluated
s731002_icedit_reference_occluded,731002,icedit_reference_occluded,13.02533226099331,0.02300354279577732,0.30030378699302673,0.3157176673412323,0,not_evaluated
s731002_native_fill,731002,native_fill,8.37028549797833,0.034138988703489304,0.13408175110816956,0.17683547735214233,0,not_evaluated
s731003_icedit_full,731003,icedit_full,13.447671492001973,0.07012005895376205,0.10554162412881851,0.12938305735588074,0,not_evaluated
s731003_icedit_masked,731003,icedit_masked,13.034154593013227,0.02224593423306942,0.14043858647346497,0.1675201952457428,0,not_evaluated
s731003_icedit_masked_desired,731003,icedit_masked_desired,13.188568904995918,0.022361833602190018,0.15002866089344025,0.09012984484434128,0,not_evaluated
s731003_icedit_reference_occluded,731003,icedit_reference_occluded,13.09201419603778,0.02248661406338215,0.2850266993045807,0.3143537640571594,0,not_evaluated
s731003_native_fill,731003,native_fill,8.074464782956056,0.03901977464556694,0.1489262729883194,0.19467304646968842,0,not_evaluated
